Sample,Year,Season,Region,Harvest,ReefID,Collection,Shell,Class,Fishery,Pre.Fishery,Recruit
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,0.7,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,0.9,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1.1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.3,Spat,0,0,1
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R12,1.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR86,S16SR86R13,1.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR86,S16SR86R13,1.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.4,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.4,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR86,S16SR86R13,1.6,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R12,1.7,Spat,0,0,1
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R12,1.7,Spat,0,0,1
S15,2015,Summer,Salt Run,N,SR5,S15SR5R4,1.8,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,1.8,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.8,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.8,Spat,0,0,1
S16,2016,Summer,Salt Run,Y,SR24,S16SR24R2,1.8,Spat,0,0,1
S16,2016,Summer,Tolomato River,N,TR627,S16TR627R3,1.9,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,1.9,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR6A,S16SR6R1,1.9,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR86,S16SR86R13,1.9,Spat,0,0,1
S16,2016,Summer,Tolomato River,N,TR627,S16TR627R11,2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR76,S16SR76R13,2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R12,2.1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R12,2.1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R12,2.1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,2.1,Spat,0,0,1
S16,2016,Summer,Salt Run,Y,SR28,S16SR28R2,2.1,Spat,0,0,1
S16,2016,Summer,Matanzas River,Y,FM368,S16FM368R24,2.1,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR86,S16SR86R13,2.1,Spat,0,0,1
S16,2016,Summer,Matanzas River,Y,FM384,S16FM384R4,2.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,2.2,Spat,0,0,1
S16,2016,Summer,Tolomato River,N,TR209A,S16TR209R19,2.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,2.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,2.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,2.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,2.2,Spat,0,0,1
S16,2016,Summer,Matanzas River,Y,FM562,S16FM562R1,2.2,Spat,0,0,1
W16,2016,Winter,Matanzas River,N,FM31,W16FM31R1,2.2,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R12,2.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR70,S16SR70R12,2.3,Spat,0,0,1
S16,2016,Summer,Tolomato River,N,TR209A,S16TR209R19,2.3,Spat,0,0,1
S16,2016,Summer,Tolomato River,N,TR627,S16TR627R11,2.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R12,2.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,2.3,Spat,0,0,1
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R10,2.3,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR71,S16SR71R12,2.4,Spat,0,0,1
S16,2016,Summer,Salt Run,N,SR80,S16SR80R17,2.4,Spat,0,0,1
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R12,2.4,Spat,0,0,1
W15,2015,Winter,Salt Run,Y,SR2,W15SR2R50,2.4,Spat,0,0,1
W16,2016,Winter,Matanzas River,Y,FM604,W16FM604R2,2.4,Spat,0,0,1
W16,2016,Winter,Matanzas River,N,FM26,W16FM26R13,2.4,Spat,0,0,1
S16,2016,Summer,Matanzas River,Y,FM384,S16FM384R4,2.5,Spat,0,0,1
