Sample,Year,Season,Region,Harvest,ReefID,CollectionName,Cluster,Live,Oys,Barn,Mus,Clam,Total.Other,Total,Fishery,Pre-Fishery,Spat,Total.Oys
S15,2015,Summer,Matanzas River,N,BB15A,S15BB15AR20,37,30,183,2,9,1,12,195,2,20,28,50
S15,2015,Summer,Matanzas River,N,BB15A,S15BB15AR16,22,37,179,5,10,0,15,194,0,23,27,50
S15,2015,Summer,Matanzas River,N,BB15A,S15BB15AR3,17,40,155,19,10,0,29,185,0,20,30,50
S15,2015,Summer,Matanzas River,N,BBNR1,S15BBNR1R0,16,25,54,10,1,0,11,65,1,24,25,50
S15,2015,Summer,Matanzas River,N,BBNR1,S15BBNR1R4,10,25,85,1,1,0,2,87,2,24,24,50
S15,2015,Summer,Matanzas River,N,BBNR1,S15BBNR1R5,13,24,69,0,3,0,3,,3,32,15,50
S15,2015,Summer,Matanzas River,Y,CO,S15COR12,18,36,67,2,0,0,2,69,4,24,22,50
S15,2015,Summer,Matanzas River,Y,CO,S15COR5,19,32,67,0,1,0,1,68,6,32,12,50
S15,2015,Summer,Matanzas River,Y,CO,S15COR2,13,26,59,1,4,0,5,64,0,28,22,50
W15,2015,Winter,Matanzas River,Y,CO,W15COR17,NA,40,127,0,4,0,4,131,5,29,16,50
W15,2015,Winter,Matanzas River,Y,CO,W15COR8,NA,36,58,23,9,0,32,90,4,34,12,50
W15,2015,Winter,Matanzas River,Y,CO,W15COR25,NA,32,137,6,12,0,18,155,9,24,17,50
W15,2015,Winter,Matanzas River,Y,FM1,W15FM1R6,NA,24,19,6,0,0,6,25,0,16,3,19
S15,2015,Summer,Matanzas River,Y,FM1,S15FM1R14,16,18,49,6,1,0,7,56,0,31,18,49
S15,2015,Summer,Matanzas River,Y,FM1,S15FM1R15,14,23,37,6,3,0,9,46,1,24,12,37
W15,2015,Winter,Matanzas River,Y,FM1,W15FM1R2,NA,23,87,3,3,0,6,93,2,40,8,50
S15,2015,Summer,Matanzas River,Y,FM1,S15FM1R7,21,20,77,14,7,0,21,98,2,25,23,50
W15,2015,Winter,Matanzas River,Y,FM1,W15FM1R15,NA,21,105,12,7,0,19,124,4,29,17,50
S16,2016,Summer,Matanzas River,Y,FM125,S16FM125R7,5,11,31,0,1,0,1,32,5,24,2,31
S16,2016,Summer,Matanzas River,Y,FM125,S16FM125R10,8,24,85,22,2,4,28,113,3,57,25,85
S16,2016,Summer,Matanzas River,Y,FM125,S16FM125R1,12,34,306,147,43,5,195,501,29,157,120,306
S16,2016,Summer,Matanzas River,Y,FM132,S16FM132R6,6,13,1,0,0,0,0,1,0,1,0,1
S16,2016,Summer,Matanzas River,Y,FM132,S16FM132R7,5,8,12,0,0,0,0,12,1,8,3,12
S16,2016,Summer,Matanzas River,Y,FM132,S16FM132R1,3,8,58,52,5,0,57,115,1,26,31,58
S15,2015,Summer,Matanzas River,Y,FM206,S15FM206R7,3,28,38,0,0,0,0,38,0,29,9,38
S15,2015,Summer,Matanzas River,Y,FM206,S15FM206R22,7,27,102,0,2,0,2,104,1,31,18,50
W15,2015,Winter,Matanzas River,Y,FM206,W15FM206R14,13,15,51,2,2,0,4,55,0,30,20,50
S15,2015,Summer,Matanzas River,Y,FM206,S15FM206R28,9,20,81,0,3,0,3,84,0,33,17,50
W15,2015,Winter,Matanzas River,Y,FM206,W15FM206R17,11,12,54,18,14,1,33,87,1,33,16,50
W15,2015,Winter,Matanzas River,Y,FM206,W15FM206R23,11,21,229,68,22,4,94,323,0,20,30,50
W16,2016,Winter,Matanzas River,N,FM23,W16FM23R15,17,42,102,10,3,3,16,118,2,48,52,102
W16,2016,Winter,Matanzas River,N,FM23,W16FM23R12,21,45,131,17,4,9,30,161,5,59,67,131
W16,2016,Winter,Matanzas River,N,FM23,W16FM23R17,23,52,99,16,7,1,24,123,2,53,44,99
W16,2016,Winter,Matanzas River,N,FM24,W16FM24R26,32,36,173,7,3,9,19,192,7,65,101,173
W16,2016,Winter,Matanzas River,N,FM24,W16FM24R5,26,36,105,5,9,7,21,126,4,50,51,105
W16,2016,Winter,Matanzas River,N,FM24,W16FM24R32,29,46,225,9,30,4,43,268,4,68,153,225
W16,2016,Winter,Matanzas River,N,FM26,W16FM26R2,16,37,91,0,1,5,6,97,4,43,44,91
W16,2016,Winter,Matanzas River,N,FM26,W16FM26R7,12,30,117,7,2,7,16,133,7,52,58,117
W16,2016,Winter,Matanzas River,N,FM26,W16FM26R13,19,35,132,9,3,2,14,146,9,54,69,132
S16,2016,Summer,Matanzas River,Y,FM290,S16FM290R11,16,36,95,8,30,6,44,139,4,35,56,95
S16,2016,Summer,Matanzas River,Y,FM290,S16FM290R12,12,36,166,40,74,23,137,303,9,76,81,166
S16,2016,Summer,Matanzas River,Y,FM290,S16FM290R7,7,49,169,36,100,1,137,306,5,86,78,169
W15,2015,Winter,Matanzas River,Y,FM3,W15FM3R8,25,42,88,2,8,0,10,98,2,36,12,50
W15,2015,Winter,Matanzas River,Y,FM3,W15FM3R16,18,63,115,0,20,0,20,135,3,31,16,50
W15,2015,Winter,Matanzas River,Y,FM3,W15FM3R5,37,49,95,9,35,0,44,139,0,29,21,50
W16,2016,Winter,Matanzas River,N,FM31,W16FM31R7,15,16,67,3,1,1,5,72,2,26,39,67
