"","Sample","Year","Season","Region","Harvest","ReefID","Collection","Shell","Class","Fishery","Pre.Fishery","Recruit"
"1","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",0.7,"Spat",0,0,1
"2","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",0.9,"Spat",0,0,1
"3","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1,"Spat",0,0,1
"4","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1,"Spat",0,0,1
"5","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1.1,"Spat",0,0,1
"6","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1.2,"Spat",0,0,1
"7","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1.2,"Spat",0,0,1
"8","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.2,"Spat",0,0,1
"9","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1.3,"Spat",0,0,1
"10","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1.3,"Spat",0,0,1
"11","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.3,"Spat",0,0,1
"12","S16",2016,"Summer","Salt Run","Yes","SR41","S16SR41R12",1.3,"Spat",0,0,1
"13","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",1.3,"Spat",0,0,1
"14","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",1.3,"Spat",0,0,1
"15","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.4,"Spat",0,0,1
"16","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.4,"Spat",0,0,1
"17","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",1.6,"Spat",0,0,1
"18","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",1.7,"Spat",0,0,1
"19","S16",2016,"Summer","Salt Run","Yes","SR41","S16SR41R12",1.7,"Spat",0,0,1
"20","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",1.8,"Spat",0,0,1
"21","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",1.8,"Spat",0,0,1
"22","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.8,"Spat",0,0,1
"23","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.8,"Spat",0,0,1
"24","S16",2016,"Summer","Salt Run","Yes","SR24","S16SR24R2",1.8,"Spat",0,0,1
"25","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",1.9,"Spat",0,0,1
"26","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",1.9,"Spat",0,0,1
"27","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",1.9,"Spat",0,0,1
"28","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",1.9,"Spat",0,0,1
